Date & Time,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-26_18:55,58,0,74.8918,110,42
2016-11-26_18:57,58,0,74.8918,110,42
2016-11-26_19:00,58,0,74.8918,111,42
2016-11-26_19:03,58,0,74.8918,110,42
2016-11-26_19:05,58,0,74.8918,110,42
2016-11-26_19:08,21,59,65.368,110,42
2016-11-26_19:10,33,41,67.9654,110,42
2016-11-26_19:13,43,27,69.697,110,42
2016-11-26_19:16,49,16,71.8615,111,43
2016-11-26_19:18,53,9,73.1602,111,42
2016-11-26_19:21,54,5,74.4589,110,42
2016-11-26_19:24,56,3,74.4589,110,43
2016-11-26_19:26,57,2,74.4589,110,42
2016-11-26_19:29,58,1,74.4589,110,43
2016-11-26_19:32,58,1,74.4589,110,42
2016-11-26_19:34,58,0,74.8918,112,41
2016-11-26_19:37,58,0,74.8918,112,42
2016-11-26_19:40,58,0,74.8918,111,41
2016-11-26_19:42,58,0,74.8918,111,41
2016-11-26_19:45,58,0,74.8918,110,43
2016-11-26_19:47,58,0,74.8918,110,43
2016-11-26_19:50,58,0,74.8918,111,42
2016-11-26_19:53,58,0,74.8918,111,42
2016-11-26_19:55,58,0,74.8918,110,43
2016-11-26_19:58,58,0,74.8918,110,42
2016-11-26_20:01,58,0,74.8918,111,42
2016-11-26_20:03,58,0,74.8918,111,42
2016-11-26_20:06,58,0,74.8918,110,43
2016-11-26_20:09,58,0,74.8918,110,43
2016-11-26_20:11,58,0,74.8918,111,41
2016-11-26_20:14,58,0,74.8918,110,41
2016-11-26_20:17,58,0,74.8918,110,41
2016-11-26_20:19,58,0,74.8918,110,41
2016-11-26_20:22,58,0,74.8918,111,41
2016-11-26_20:25,58,0,74.8918,110,41
2016-11-26_20:27,58,0,74.8918,111,42
2016-11-26_20:30,21,59,65.368,110,42
2016-11-26_20:32,33,41,67.9654,110,42
2016-11-26_20:35,43,27,69.697,111,41
2016-11-26_20:38,49,16,71.8615,110,42
2016-11-26_20:40,53,9,73.1602,110,41
2016-11-26_20:43,54,5,74.4589,110,41
2016-11-26_20:46,56,3,74.4589,110,41
2016-11-26_20:48,57,2,74.4589,110,41
2016-11-26_20:51,58,1,74.4589,110,42
2016-11-26_20:54,58,1,74.4589,111,42
2016-11-26_20:56,58,0,74.8918,110,42
2016-11-26_20:59,58,0,74.8918,111,42
2016-11-26_21:01,58,0,74.8918,110,42
2016-11-26_21:04,58,0,74.8918,111,41
2016-11-26_21:07,58,0,74.8918,110,41
2016-11-26_21:09,58,0,74.8918,110,41
2016-11-26_21:12,58,0,74.8918,110,41
2016-11-26_21:15,58,0,74.8918,111,42
2016-11-26_21:17,58,0,74.8918,110,42
2016-11-26_21:20,58,0,74.8918,110,42
2016-11-26_21:23,58,0,74.8918,110,42
2016-11-26_21:25,58,0,74.8918,110,42
2016-11-26_21:28,58,0,74.8918,110,41
2016-11-26_21:31,58,0,74.8918,110,41
2016-11-26_21:33,58,0,74.8918,111,41
2016-11-26_21:36,58,0,74.8918,111,42
2016-11-26_21:38,58,0,74.8918,110,42
2016-11-26_21:41,58,0,74.8918,110,42
2016-11-26_21:44,58,0,74.8918,110,42
2016-11-26_21:46,58,0,74.8918,110,41
2016-11-26_21:49,58,0,74.8918,110,41
2016-11-26_21:52,21,59,65.368,110,41
2016-11-26_21:54,33,41,67.9654,110,41
2016-11-26_21:57,43,27,69.697,110,41
2016-11-26_21:59,49,16,71.8615,110,41
2016-11-26_22:02,53,9,73.1602,110,41
2016-11-26_22:05,54,5,74.4589,110,41
2016-11-26_22:07,56,3,74.4589,110,41
2016-11-26_22:10,57,2,74.4589,110,41
2016-11-26_22:13,58,1,74.4589,110,41
2016-11-26_22:15,58,1,74.4589,110,41
2016-11-26_22:18,58,0,74.8918,110,41
2016-11-26_22:21,58,0,74.8918,111,43
2016-11-26_22:23,58,0,74.8918,110,41
2016-11-26_22:26,58,0,74.8918,110,42
2016-11-26_22:29,58,0,74.8918,110,41
2016-11-26_22:31,58,0,74.8918,110,42
2016-11-26_22:34,58,0,74.8918,110,41
2016-11-26_22:36,58,0,74.8918,111,41
2016-11-26_22:39,58,0,74.8918,110,41
2016-11-26_22:42,58,0,74.8918,110,42
2016-11-26_22:44,58,0,74.8918,110,41
2016-11-26_22:47,58,0,74.8918,110,41
2016-11-26_22:50,58,0,74.8918,110,42
2016-11-26_22:52,58,0,74.8918,110,41
2016-11-26_22:55,58,0,74.8918,110,42
2016-11-26_22:58,58,0,74.8918,110,42
2016-11-26_23:00,58,0,74.8918,111,41
2016-11-26_23:03,58,0,74.8918,110,42
2016-11-26_23:06,58,0,74.8918,110,41
2016-11-26_23:08,58,0,74.8918,110,42
2016-11-26_23:11,58,0,74.8918,110,41
2016-11-26_23:14,21,59,65.368,110,41
2016-11-26_23:16,33,41,67.9654,110,42
2016-11-26_23:19,43,27,69.697,110,41
2016-11-26_23:21,49,16,71.8615,110,41
2016-11-26_23:24,53,9,73.1602,110,42
2016-11-26_23:27,54,5,74.4589,110,42
2016-11-26_23:29,56,3,74.4589,110,42
2016-11-26_23:32,57,2,74.4589,110,42
2016-11-26_23:35,58,1,74.4589,110,41
2016-11-26_23:37,58,1,74.4589,110,42
2016-11-26_23:40,58,0,74.8918,110,41
2016-11-26_23:43,58,0,74.8918,110,42
2016-11-26_23:45,58,0,74.8918,110,41
2016-11-26_23:48,58,0,74.8918,110,42
2016-11-26_23:51,58,0,74.8918,110,41
2016-11-26_23:53,58,0,74.8918,110,42
2016-11-26_23:56,58,0,74.8918,110,41
2016-11-26_23:58,58,0,74.8918,110,42
2016-11-27_00:01,58,0,74.8918,110,42
2016-11-27_00:04,58,0,74.8918,110,42
2016-11-27_00:06,58,0,74.8918,110,42
2016-11-27_00:09,58,0,74.8918,110,42
2016-11-27_00:12,58,0,74.8918,110,42
2016-11-27_00:14,58,0,74.8918,110,41
2016-11-27_00:17,58,0,74.8918,110,41
2016-11-27_00:20,58,0,74.8918,110,42
2016-11-27_00:22,58,0,74.8918,110,42
2016-11-27_00:25,58,0,74.8918,110,41
2016-11-27_00:28,58,0,74.8918,110,42
2016-11-27_00:30,58,0,74.8918,110,41
2016-11-27_00:33,58,0,74.8918,110,42
