Date & Time,Threshold,Total Test Images,Correct,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-12-21_13:05,196,883,367,516,0,41.5629,11,308
2016-12-21_13:10,198,883,367,516,0,41.5629,12,300
2016-12-21_13:15,200,883,367,516,0,41.5629,11,300
2016-12-21_13:20,102,883,367,513,3,41.5629,11,300
2016-12-21_13:25,104,883,367,513,3,41.5629,11,301
2016-12-21_13:31,106,883,367,514,2,41.5629,11,301
2016-12-21_13:36,108,883,367,515,1,41.5629,11,300
2016-12-21_13:41,110,883,367,515,1,41.5629,11,300
2016-12-21_13:46,112,883,367,515,1,41.5629,11,299
2016-12-21_13:51,114,883,367,515,1,41.5629,11,300
2016-12-21_13:57,116,883,367,515,1,41.5629,11,300
2016-12-21_14:02,118,883,367,515,1,41.5629,13,308
2016-12-21_14:07,120,883,367,516,0,41.5629,12,299
2016-12-21_14:12,122,883,367,516,0,41.5629,12,299
2016-12-21_14:17,124,883,367,516,0,41.5629,12,299
2016-12-21_14:23,126,883,367,516,0,41.5629,12,299
2016-12-21_14:28,128,883,367,516,0,41.5629,14,306
2016-12-21_14:33,130,883,367,516,0,41.5629,11,301
2016-12-21_14:38,132,883,367,516,0,41.5629,11,301
2016-12-21_14:44,134,883,367,516,0,41.5629,12,300
2016-12-21_14:49,136,883,367,516,0,41.5629,11,301
2016-12-21_14:54,138,883,367,516,0,41.5629,11,301
2016-12-21_14:59,140,883,367,516,0,41.5629,11,300
2016-12-21_15:04,142,883,367,516,0,41.5629,11,301
2016-12-21_15:10,144,883,367,516,0,41.5629,11,301
2016-12-21_15:15,146,883,367,516,0,41.5629,11,301
2016-12-21_15:20,148,883,367,516,0,41.5629,12,305
2016-12-21_15:25,150,883,367,516,0,41.5629,12,306
2016-12-21_15:31,152,883,367,516,0,41.5629,11,305
2016-12-21_15:36,154,883,367,516,0,41.5629,11,304
2016-12-21_15:41,156,883,367,516,0,41.5629,11,303
2016-12-21_15:46,158,883,367,516,0,41.5629,11,304
2016-12-21_15:52,160,883,367,516,0,41.5629,11,304
2016-12-21_15:57,162,883,367,516,0,41.5629,11,305
2016-12-21_16:02,164,883,367,516,0,41.5629,11,305
2016-12-21_16:07,166,883,367,516,0,41.5629,12,302
2016-12-21_16:13,168,883,367,516,0,41.5629,11,301
2016-12-21_16:18,170,883,367,516,0,41.5629,11,302
2016-12-21_16:23,172,883,367,516,0,41.5629,11,302
2016-12-21_16:28,174,883,367,516,0,41.5629,11,301
2016-12-21_16:34,176,883,367,516,0,41.5629,11,300
2016-12-21_16:39,178,883,367,516,0,41.5629,12,300
2016-12-21_16:44,180,883,367,516,0,41.5629,11,300
2016-12-21_16:49,182,883,367,516,0,41.5629,11,300
2016-12-21_16:54,184,883,367,516,0,41.5629,12,300
2016-12-21_16:59,186,883,367,516,0,41.5629,11,300
2016-12-21_17:05,188,883,367,516,0,41.5629,11,301
