Date & Time,Mispredicted,Unpredicted,Accuracy,Training Time,Testing Time
2016-11-27_18:08,2,153,32.9004,111,41
2016-11-27_18:11,4,107,51.9481,111,41
2016-11-27_18:13,9,79,61.9048,111,42
2016-11-27_18:16,21,59,65.368,111,41
2016-11-27_18:19,33,41,67.9654,111,41
2016-11-27_18:21,43,27,69.697,110,42
2016-11-27_18:24,49,16,71.8615,110,43
2016-11-27_18:27,53,9,73.1602,111,42
2016-11-27_18:29,54,5,74.4589,111,42
2016-11-27_18:32,56,3,74.4589,111,42
2016-11-27_18:35,57,2,74.4589,111,41
2016-11-27_18:37,58,1,74.4589,111,41
2016-11-27_18:40,58,1,74.4589,110,42
2016-11-27_18:43,58,0,74.8918,110,42
2016-11-27_18:45,58,0,74.8918,111,42
2016-11-27_18:48,58,0,74.8918,110,43
2016-11-27_18:51,58,0,74.8918,111,41
2016-11-27_18:53,58,0,74.8918,111,42
2016-11-27_18:56,58,0,74.8918,111,41
2016-11-27_18:59,58,0,74.8918,111,42
2016-11-27_19:01,58,0,74.8918,113,42
2016-11-27_19:04,58,0,74.8918,110,42
2016-11-27_19:07,58,0,74.8918,110,42
2016-11-27_19:09,58,0,74.8918,110,41
2016-11-27_19:12,58,0,74.8918,111,41
2016-11-27_19:15,58,0,74.8918,111,41
2016-11-27_19:17,58,0,74.8918,111,42
2016-11-27_19:20,58,0,74.8918,111,42
2016-11-27_19:23,58,0,74.8918,111,42
2016-11-27_19:25,0,231,0,112,42
2016-11-27_19:28,0,228,1.2987,110,42
2016-11-27_19:31,2,153,32.9004,110,42
2016-11-27_19:33,4,107,51.9481,110,42
2016-11-27_19:36,9,79,61.9048,111,42
2016-11-27_19:39,21,59,65.368,111,43
2016-11-27_19:41,33,41,67.9654,112,42
2016-11-27_19:44,43,27,69.697,110,42
2016-11-27_19:47,49,16,71.8615,110,42
2016-11-27_19:49,53,9,73.1602,110,42
2016-11-27_19:52,54,5,74.4589,113,42
2016-11-27_19:55,56,3,74.4589,111,41
2016-11-27_19:57,57,2,74.4589,110,41
2016-11-27_20:00,58,1,74.4589,110,42
2016-11-27_20:03,58,1,74.4589,110,42
2016-11-27_20:05,58,0,74.8918,110,42
2016-11-27_20:08,58,0,74.8918,111,42
2016-11-27_20:11,58,0,74.8918,113,42
2016-11-27_20:13,58,0,74.8918,112,42
2016-11-27_20:16,58,0,74.8918,111,41
2016-11-27_20:19,58,0,74.8918,111,42
2016-11-27_20:21,58,0,74.8918,111,42
2016-11-27_20:24,58,0,74.8918,111,41
2016-11-27_20:27,58,0,74.8918,110,43
2016-11-27_20:29,58,0,74.8918,110,42
2016-11-27_20:32,58,0,74.8918,110,42
2016-11-27_20:35,58,0,74.8918,111,41
2016-11-27_20:37,58,0,74.8918,110,42
2016-11-27_20:40,58,0,74.8918,110,43
2016-11-27_20:43,58,0,74.8918,110,42
2016-11-27_20:45,58,0,74.8918,111,42
2016-11-27_20:48,0,231,0,111,42
2016-11-27_20:51,0,228,1.2987,112,42
2016-11-27_20:53,2,153,32.9004,112,42
2016-11-27_20:56,4,107,51.9481,115,41
2016-11-27_20:59,9,79,61.9048,111,43
2016-11-27_21:01,21,59,65.368,114,42
2016-11-27_21:04,33,41,67.9654,135,42
2016-11-27_21:07,43,27,69.697,121,42
2016-11-27_21:10,49,16,71.8615,113,43
2016-11-27_21:13,53,9,73.1602,114,41
2016-11-27_21:15,54,5,74.4589,113,42
2016-11-27_21:18,56,3,74.4589,111,42
2016-11-27_21:21,57,2,74.4589,112,41
2016-11-27_21:24,58,1,74.4589,111,42
2016-11-27_21:26,58,1,74.4589,111,42
2016-11-27_21:29,58,0,74.8918,111,42
2016-11-27_21:32,58,0,74.8918,111,43
2016-11-27_21:34,58,0,74.8918,112,41
2016-11-27_21:37,58,0,74.8918,110,41
2016-11-27_21:40,58,0,74.8918,111,42
2016-11-27_21:42,58,0,74.8918,111,41
2016-11-27_21:45,58,0,74.8918,111,43
2016-11-27_21:48,58,0,74.8918,110,42
2016-11-27_21:50,58,0,74.8918,110,42
2016-11-27_21:53,58,0,74.8918,110,41
2016-11-27_21:56,58,0,74.8918,111,42
2016-11-27_21:58,58,0,74.8918,111,41
2016-11-27_22:01,58,0,74.8918,111,43
2016-11-27_22:04,58,0,74.8918,111,42
2016-11-27_22:06,58,0,74.8918,110,42
2016-11-27_22:09,58,0,74.8918,110,43
